Date,Total Sales
2024-07-08,615221.2
2024-07-09,701681.47
2024-07-10,395503.18
2024-07-11,446029.38999999996
2024-07-12,699273.3200000001
2024-07-13,1152073.0
2024-07-14,890797.7
2024-07-15,525425.73
2024-07-16,1253527.2599999998
2024-07-17,948961.8800000001
2024-07-18,177152.56
2024-07-19,311277.07
2024-07-20,1122927.9100000001
2024-07-21,721645.09
2024-07-22,385838.29
2024-07-23,720947.4199999999
2024-07-24,369715.77999999997
2024-07-25,463831.6
2024-07-26,872505.3200000001
2024-07-27,530252.67
2024-07-28,500924.06
2024-07-29,390633.83999999997
2024-07-30,262136.54
2024-07-31,1015696.02
2024-08-01,507861.97
2024-08-02,905875.12
2024-08-03,440149.31000000006
2024-08-04,684090.3300000001
2024-08-05,1035596.53
2024-08-06,529743.62
2024-08-07,311210.14999999997
2024-08-08,496855.65
2024-08-09,1120877.2
2024-08-10,811771.4199999999
2024-08-11,242713.3
2024-08-12,497454.21
2024-08-13,584209.13
2024-08-14,635008.5599999999
2024-08-15,641361.4099999999
2024-08-16,557618.51
2024-08-17,917487.41
2024-08-18,992926.9199999999
2024-08-19,1068977.11
2024-08-20,544530.0700000001
2024-08-21,272532.58999999997
2024-08-22,240774.52
2024-08-23,586603.0700000001
2024-08-24,955953.1200000001
2024-08-25,665672.25
2024-08-26,593848.37
2024-08-27,274500.07
2024-08-28,454400.43000000005
2024-08-29,246366.19
2024-08-30,1181260.28
2024-08-31,554116.09
2024-09-01,648466.57
2024-09-02,635372.59
2024-09-03,397971.04000000004
2024-09-04,443355.14
2024-09-05,533091.8
2024-09-06,680464.53
2024-09-07,543484.3300000001
2024-09-08,583617.79
2024-09-09,910252.14
2024-09-10,250782.09
2024-09-11,727911.6900000001
